[00:00] 人生迷惘 职场内好
[00:03] 欢迎收听 任性逆逆 机智生活
[00:06] 欢迎收听 任性逆逆 机智生活
[00:15] 我是Mandy 曼蒂 逆逆
[00:17] 我是神灾教母 艾比
[00:18] 艾比 今天呢
[00:20] 我们要采访一位作家
[24:02] 所以我就是通常就是跟前面集团
[24:04] 然后我就会去开发新的团了
[24:06] 然后那些我就是写好文章在网路上
[24:08] 那要是有人看了喜欢
[24:10] 他觉得行程不错
[24:11] 那他就是跟旅行社去
[24:13] 对对
[24:13] 但我就不会每团都去
[24:15] OK
[24:15] 那你可以偷偷的透露
[24:18] 像你目前在明年
[24:20] 有没有会去哪一些特别的城市去旅行
[24:25] 已经有这样子的想法跟规划
[24:28] 如果是开团的话
[24:30] 开团的部分正在跟旅行社
[24:32] 就是密切的讨论中
[24:34] 对那可能有机会可能会是非洲
[24:37] 但就是还在讨论
[24:39] 对对对
[24:39] 就是可能会去看动物大迁徙
[24:42] 但这目前就是我们都还在对
[24:44] 因为就是曼蒂一定知道
[24:46] 就在旅游业就不是你想去就可以去
[24:48] 你要把一个想法变成一个行程
[24:51] 中间有太长太长的
[24:53] 太多需要解决的事情了所以就是有一些想法就是旅行社还在跟当地就是去磨看可不可行因为我和合作旅行社的共识
[25:06] 就是我们都不想要开
[25:07] 跟市面上就是长得一模一样的团
[25:10] 就是我们想要有一些
[25:11] 特别和我们自己喜欢的元素
[25:13] 但那些非常规的元素
[25:16] 就是对当地的地阶来说
[25:18] 其实是麻烦的事情
[25:19] 所以其实我们的每个团
[25:21] 前面都需要磨合很久
[25:23] 所以对对对
[25:24] 所以最后能不能成
[25:25] 我现在也不敢说
[25:26] 对对
[25:27] 那个就是一个未知
[25:28] 但MD你不是之前想要开亲子团
[25:31] 之前喔
[25:31] 对我们之前有讨论过
[25:33] 对
[25:33] 可是
[25:34] 适合带小孩去
[25:35] 对
[25:35] 可是我不太知道
[25:36] 你规划行程是比较适合
[25:38] 什么样子的年龄层的族群
[25:41] 或是你观察啦
[25:43] 之前你的行程
[25:44] 如果是我自己的团的话
[25:46] 我的
[25:46] 因为主要会是我的独子
[25:48] 然后我的独子
[25:49] 我就其实跟我的年纪都差不多
[25:51] 就是他可能
[25:53] 最年轻的会落在二十几
[25:56] 然后
[25:57] 目前遇过最年长的
[26:00] 六七十有
[26:02] 但是普遍来说
[26:04] 最多最多的
[26:06] 主要的都还是落在三四十之间
[26:08] 对对对
[26:09] 有了带小朋友去吗
[26:11] 没有
[26:12] 因为我的行程都会
[26:13] 都比较硬
[26:14] 有一些比较硬的
[26:15] 比较硬的那个部分
[26:18] 对对对
[26:18] 像都是去
[26:19] 去拉达克
[26:22] 然后断水
[26:23] 断电了
[26:24] 这可能无法
[26:25] 然后去西藏转山
[26:27] 就是住地走两天
[26:29] OKOK
[26:29] 我懂这个意思
[26:30] 不是太适合
[26:33] 小孩子
[26:34] 小朋友一起
[26:35] 所以目前是没有人
[26:36] 带小朋友一起
[26:38] 没问题的
[26:39] 没问题的
[26:39] 当然也比较知道
[26:40] 诉求在哪里
[26:41] 真的
[26:41] 我早上还看了一篇文章
[26:44] 就是某一个
[26:45] 也是某一个网红
[26:47] 在分享他去那个
[26:48] 玉林
[26:49] 对
[26:50] 去玉林玩的事情
[26:51] 那个也好好笑
[26:52] 就是他就说他
[26:54] 他说他跟他带他老公去
[26:56] 那个语音叫啥名叫
[26:57] 那个
[26:58] 那个
[26:59] 亚马逊
[27:00] 然后他说他带他老公去
[27:02] 然后住在一个
[27:03] 那个河旁边
[27:04] 一个破破的
[27:05] 铝色
[27:06] 然后他那个铝色的
[27:08] 在洗澡的时候
[27:09] 也是像刚刚你们讲的
[27:10] 很客奈
[27:11] 然后旁边还有很多只树啊
[27:13] 嗯
[27:13] 然后然后他老公
[27:14] 因为他老公是个洁癖
[27:15] 就那边狂尖叫
[27:17] 像这样子的
[27:19] 行程你有遇过吗
[27:20] 就是那种
[27:21] 你的
[27:22] 一代的人可能就有點
[27:24] 沒有辦法承受不停崩潰的那種狀況帶團的時候帶團的时候还好的原因是因为我们自己也知道这个团就是很容易逼疯人
[27:36] 他们的心智很坚强
[27:41] 对
[27:42] 很有趣
[27:43] 就是应该说我们在他们报名付钱之前
[27:46] 就提醒他们
[27:47] 我们旅行社是会做电访的
[27:50] 就是我们会先电访警告
[27:52] 他所有可能会遭遇到的
[27:55] 所有荒唐的事情
[27:56] 然后确保他可以接受
[27:59] 所以虽然大家到了当地以后
[28:01] 确实有些人觉得
[28:02] 还是有点超乎想象
[28:04] 是一回事
[28:06] 讲是一回事
[28:08] 到现场又是另外一回事
[28:09] 但我觉得因为有事先讲
[28:11] 然后也可能因为
[28:12] 就是在其他的部分
[28:14] 确实还是玩得愉快的
[28:15] 所以大家就是在
[28:16] 那个硬体的部分
[28:17] 崩溃完也就算了
[28:19] 然后大家就把它当成一个
[28:21] 就像刚刚说
[28:22] 他其实会变成一个很有趣的回忆
[28:24] 因为你可能自己不会遇到这样的事情
[28:26] 对对对
[28:27] 然后说到就是
[28:28] 大家我觉得很有趣一点
[28:30] 是我其实刚从墨西哥的团回来
[28:33] 然后今天墨西哥的团
[28:34] 遇到就是我们开团以来
[28:35] 最荒唐的事情是
[28:36] 我们到了我们已经订好的饭店
[28:39] 然后发现饭店的门口
[28:40] 被贴了一张就是
[28:42] 饭店停止营业的公告
[28:44] 然后就是我们
[28:45] 就是我们包着车就在饭店停下来
[28:47] 然后所有人就在那张
[28:48] 公告前面就是大傻眼
[28:50] 然后想说我们的旅馆呢
[28:54] 然后我们就是就有一个路人来说
[28:56] 这间旅馆大概六七页的时候就停业了
[28:59] 但是还有人住在旅馆的楼上
[29:01] 还是你要问问旅馆楼上的人
[29:03] 但我们根本就找不到旅馆楼上的人
[29:05] 门是关的吧
[29:06] 门是关着的
[29:07] 然后而且就是同一个时间你上网
[29:10] 他的房间还是可以订的哦
[29:11] 天啊
[29:12] 对然后就像刚说
[29:14] 就是其实团员就一开始也觉得傻眼
[29:16] 那后来他们就觉得
[29:17] 反正跟团出来团会处理
[29:19] 所以大家就是在那里很快乐的
[29:21] 就是在门口留下了
[29:22] 拍照
[29:23] 荒唐的就是合影
[29:24] 就是快乐合影
[29:25] 就遇到了关门的饭店
[29:27] 然后我们就把团员就是送去吃饭
[29:30] 然后我们就开始赶快就是
[29:31] 临时上流
[29:32] 我们要领袭饭店
[29:34] 然后就订好以后
[29:35] 就是我们就跟当地的DJ的导游
[29:38] 就赶快把所有行李送到新饭店
[29:40] 然后通知团员新饭店在哪里
[29:41] 然后大家就后来就到新饭店去
[29:44] 太可怕了
[29:45] 这压力超大的
[29:46] 就很闹
[29:47] 很闹
[29:48] 真的很闹
[29:49] 真的很好
[29:49] 那我也问问Jesse啊
[29:52] 就是
[29:52] 我其实因为像Ivy
[29:54] 她是知识IP的经纪人
[29:57] 可是你觉得
[29:58] 有需要
[29:59] 旅游的IP的经纪人吗
[30:02] 就你的状态
[30:03] 你觉得有什么样的状况底下
[30:06] 会需要这样的角色
[30:08] 你会需要这样的角色
[30:09] 应该说我其实有认识
[30:12] 一些在做旅游的人
[30:13] 他们其实也都是有经纪人的
[30:15] 真的吗
[30:16] 其实是有的
[30:19] 对 但可能不是
[30:20] 就是因为可能就是没有规模那么大
[30:23] 就是可能不是一个人底下
[30:24] 对了很多很多很多
[30:26] 他们的经纪人可能就是
[30:27] 做一些比较小规模
[30:28] 那可能也不
[30:29] 不只专做旅游啦
[30:31] 他就是做很多
[30:32] 不同系列的KOL这样子
[30:33] 对那我觉得
[30:35] 对我来说就是经纪人好处
[30:36] 就是他可以帮你
[30:38] 就是谈判很多事情
[30:39] 因为就是毕竟你有时候自己
[30:41] 你在沟通的过程里
[30:43] 就是你有些话不好自己说
[30:45] 对对对
[30:46] 我觉得这种时候
[30:47] 我就会觉得有经纪人很不错
[30:49] 对那又或者是说
[30:51] 就是毕竟
[30:53] 就是如果我自己做过就知道
[30:55] 其实除了工作以外
[30:57] 你会有很多很多的杂事和事物要处理
[31:00] 然后像是回信啊
[31:01] 或各种事情
[31:02] 然后这种时候我就觉得有个经纪人
[31:04] 或者是可以去主动的提案
[31:06] 谈案就很不错
[31:08] 那我觉得我自己没有的原因是因为
[31:11] 我其实是个就是很不喜欢被控制的人
[31:15] 所以我觉得如果我找一个经纪人
[31:17] 经纪人会被我逼疯
[31:19] 对对对
[31:21] 就是他可能叫我做什么
[31:23] 我都跟他说我不想做
[31:24] 怎么办
[31:25] 所以你觉得通常是在
[31:28] 比如说是商业
[31:29] 商案洽谈的时候
[31:31] 是有需要一个这样的角色
[31:33] 应该说我认识的人
[31:35] 就是最主要其实还是商案洽谈
[31:37] 或者是像是他们
[31:38] 如果今天他们要出去旅行
[31:39] 他们可能会需要很多
[31:40] 不同的赞助
[31:42] 像是网卡
[31:43] 然后像是火车的通票
[31:46] 然后或者甚至是当地的旅馆
[31:49] 就是他们有些人会很习惯的
[31:51] 就是他们觉得
[31:52] 他们需要谈很多赞助
[31:53] 那这种时候我就知道
[31:54] 他们也都会委托
[31:56] 就是经纪人去帮忙谈
[31:57] 对那或者还有另外一点
[31:59] 我觉得有经纪人
[32:00] 不错的地方
[32:00] 因为经纪人底下
[32:01] 可能会有一些不同的人
[32:02] 所以当他接到一个案子的时候
[32:04] 他可能会把他旗下
[32:06] 不同的人一起推荐出去
[32:07] 所以我觉得案源也会增加
[32:09] 就是我从朋友的身上觉得
[32:11] 经纪人还是有蛮多好处的
[32:13] 对就是不管是帮忙在掐谈上啊
[32:16] 然后或者是
[32:17] 如果是一个自己不太擅长规划
[32:20] 或是安排自己的人
[32:21] 我觉得有个人可以盯着你
[32:22] 也是不错
[32:23] 就没办法自律的话有人帮助你一起自律也是蛮好的对对对脑子飘出了某些人对对对就是从朋友身上就看
[32:35] 有些人真的需要人盯着
[32:38] 就是他需要一直被吹
[32:39] 他一直被盯进度
[32:40] 他才有办法好好
[32:41] 他才有办法吹到心泪
[32:43] 对对对对
[32:44] 就是我觉得各有好坏
[32:46] 对那我自己选择没有的原因是因为
[32:49] 就是一个东西是我觉得
[32:51] 我有时候不太觉得自己像KOL
[32:54] 就是我在做的合作的厂商
[32:56] 其实是蛮稳定的
[32:58] 所以就是我们就是一直呈现一个固定合作状态
[33:01] 那我自己出去玩的时候
[33:03] 因为我不想要在自己的旅行的时候
[33:06] 还要工作
[33:07] 所以我自己旅行的时候
[33:08] 其实蛮少谈赞助的
[33:09] 对因为我觉得那会变成一个工作
[33:12] 那我觉得我已经在写旅游书的过程里
[33:15] 那些旅行
[33:16] 我已经没有办法享受旅行了
[33:18] 那在我自己的旅行里
[33:19] 我希望我是自由的
[33:20] 所以我不太接这些东西
[33:22] 那再讲就刚刚说的就是
[33:23] 我其实是一个
[33:25] 就是蛮任性的人
[33:27] 所以就是我蛮多
[33:28] 不想要的案子
[33:29] 我就不想接啊
[33:30] 或是什么东西
[33:31] 所以我觉得就是
[33:32] 如果我找了一个经纪人来
[33:33] 对他或对我来说
[33:35] 可能都很痛苦
[33:36] 所以我就是没有
[33:37] 我们节目是任性
[33:38] 你我们都任性
[33:39] 对
[33:39] 我讲说
[33:41] 我有点太任性
[33:42] 我太怕我彼此就是合作的人
[33:44] 对对对
[33:46] 然后那个
[33:46] 经纪人可能就是会在后面
[33:48] 一直很想杀我
[33:49] 想说为什么这个人
[33:51] 因为就是
[33:52] 我认识了很多经纪人
[33:54] 是用抽成
[33:54] 我不确定你们什么合作
[33:56] 但在抽成的状况下
[33:57] 就是如果我不接案
[33:58] 他就会抽不到钱
[34:00] 我觉得就好像
[34:01] 我也会有压力
[34:02] 心里会过意不去
[34:03] 对 我会觉得
[34:04] 如果我接一直推掉案子
[34:05] 那他一直白忙
[34:07] 就是一直
[34:07] 就是做了这么多白工
[34:09] 然后只要最后
[34:10] 我说不接
[34:11] 那他那边就分不到钱
[34:13] 我就觉得这样
[34:14] 就是我心里也过意不去
[34:16] 但我又不想要
[34:16] 因为这个压力去
[34:17] 去接案子
[34:19] 我们有遇到很多老师都会这样子
[34:20] 其实当我们有的时候都跟他讲说
[34:22] 没有关系
[34:23] 我们又不是只有你一位
[34:24] 对
[34:26] 我确实
[34:26] 但是那个Jesse讲的没错
[34:28] 很多老师都会觉得说
[34:29] 那我拒绝会对你们不好意思
[34:32] 但我们通常都会跟老师讲说
[34:34] 没有关系
[34:34] 你不想就不要
[34:35] 因为你一切
[34:36] 就像刚刚讲的嘛
[34:37] 你要做的这件事情是你要快乐
[34:39] 你做的才会好
[34:40] 如果你做的不甘不愿何必
[34:42] 对啊
[34:43] 对不对
[34:44] 对
[34:44] 我觉得还是会有一些
[34:46] 会有心理上的压力
[34:47] 对心理还是会有一些压力
[34:48] 完全理解
[34:48] 完全立即
[34:49] 確實是會這樣子
[34:50] 我每次在遇到這種就是知識IP
[34:53] 或像你們這樣子的KOL的時候我都在想要問你們一個問題就是其实影响力变现的这件事情啊其实坦白说很多人不知道它不是一个等号
[35:06] 就不代表你有影响力就可以变现
[35:10] 是真的
[35:10] 对
[35:11] 出书因为它比较是一个
[35:13] 我觉得现在市场也没有那么好
[35:16] 所以相信出书并不是一个
[35:18] 非常非常大的一个主力的一个收入
[35:22] 完全不是
[35:23] 完全不是嘛
[35:24] 因为像你刚才的描述
[35:25] 就是说
[35:25] 你的强项是文字相关的
[35:29] 是你的强项
[35:30] 对啊
[35:31] 可是没有人说
[35:32] 我是靠书籍大卖
[35:34] 然后才在那里
[35:35] 而且我刚才讲收入来源
[35:37] 我没有意识到
[35:38] 我甚至没有讲到出书这件事情
[35:40] 真的耶
[35:41] 我整个忘记他了
[35:43] 所以说书
[35:45] 确实不会有太多的收入
[35:46] 你在验证你的影响力
[35:49] 变现的过程中
[35:50] 你有没有尝试任何的
[35:53] 努力的做法
[35:55] 除了我们讲写文字以外
[35:58] 因为我觉得那是你的
[35:59] 专长的延伸
[36:00] 可是像我看你的网站有导购
[36:04] 其实也不是说
[36:05] 所有商品都可以导购
[36:07] 你有没有经历过这个过程
[36:08] 我觉得
[36:10] 我还好的原因是
[36:13] 因为就像我刚说
[36:14] 我其实是一个蛮任性的人
[36:16] 所以我真的接下来的商品都是
[36:19] 我真的很喜欢
[36:20] 而且我自己一直在用的东西
[36:23] 就是而且是长期在用
[36:24] 那我觉得就是
[36:25] 我跟我的读者之间
[36:27] 是有一个默契的
[36:29] 就是我觉得他们就是
[36:31] 相信我真的在用
[36:32] 因为就是从我出去玩
[36:33] 也看得出来
[36:34] 就是我那些东西
[36:35] 我就是不是拍完照以后就放着
[36:37] 就他们会在我之后的旅途中
[36:39] 一直看到
[36:39] 不断不断的看到
[36:40] 然后所以我觉得我们之间
[36:42] 是有一个默契在
[36:43] 就是我推的东西我真的喜欢
[36:45] 那当然他买了
[36:46] 他用了他可能不喜欢
[36:47] 但至少我舞台会去
[36:49] 就是推一些
[36:50] 我其实没有在用的东西
[36:51] 那再加上我觉得
[36:52] 我的
[36:53] 我很幸运是
[36:54] 我觉得我觉得
[36:55] 我有一群很棒的读者
[36:56] 就我的读者是一群
[36:57] 很愿意回馈和分享的人
[36:59] 所以就是如果他们买了
[37:00] 他们用了喜欢
[37:01] 他们就一样会在我的
[37:03] Line社群或其他地方
[37:04] 分享说他们用了
[37:05] 觉得很喜欢
[37:06] 然后所以我就会有一些
[37:08] 来自读者真实使用的素材
[37:10] 可以再去做分享
[37:11] 所以在以目前为止
[37:14] 就是以导购和其他状况来说
[37:16] 就是有接下来的状况都还可以
[37:18] 对
[37:19] 有没有接到
[37:20] 或是被收到什么样子的要求说
[37:22] 可不可以
[37:23] Sacy 你可不可以导购一个什么东西或是由厂商来找你然后你就觉得可是这东西真的跟我很不搭有这个状况吗超级多的会找你
[37:35] 什么东西会找到你
[37:37] 然后让你觉得说
[37:38] 为什么这个东西会找到我
[37:40] 我不确定是不是
[37:43] 因为现在团购
[37:44] 对很多团购的厂商来说
[37:46] 是没有成本
[37:47] 反正它就是有曝光就可以了
[37:48] 像我之前被邀约过
[37:51] 推广冷冻年菜
[37:52] 对
[37:53] 然后我自己是一个玩
[37:55] 就是
[37:55] 对啊
[37:56] 就我也不是一个负责准备年菜的人
[37:58] 然后我的整个
[37:59] 整个里面就是
[38:01] 全部都只跟旅游相关
[38:02] 然后就突然出现冷冻年菜
[38:04] 然后还出现过那个什么
[38:06] 嗯
[38:07] 有点像是发电机的东西
[38:11] 嗯
[38:12] 嗯
[38:13] 他说什么就是可以放在就是
[38:15] 就是不管是家里
[38:16] 还是放在车上
[38:17] 就你临时什么需要发电
[38:19] 我就说到底什么
[38:20] 我怎么说
[38:21] 需要发电
[38:22] 我们都用爱发电给朋友
[38:25] 谢谢
[38:25] 发电机有点
[38:27] 我不知道要怎么推
[38:29] 就是
[38:29] 对啊
[38:30] 总之就是会有很多
[38:32] 我觉得可能就是
[38:34] 跟Rio不太相关
[38:36] 对
[38:36] 但我就是
[38:37] 我觉得蛮有趣的啊
[38:38] 就是会看到很多
[38:39] 各式各样的商品
[38:40] 对啊
[38:41] Rio KOL
[38:42] 大概会常常去推荐的商品
[38:45] 大概大家都知道
[38:46] 比如说
[38:47] 那个行动
[38:48] 行李箱
[38:49] 行动电源
[38:50] 王卡
[38:50] 王卡
[38:51] 还有警诊
[38:52] 对
[38:53] 旅游周边
[38:54] 就你可以感受到
[38:56] 他们非常的聚焦
[38:58] 在他们在旅游的路上
[39:00] 会一定会携带的用品
[39:02] 这样子
[39:03] 所以我也
[39:03] 我那个时候在看他的时候
[39:05] 我就觉得
[39:05] 他也是围绕着这个周边
[39:07] 但不代表
[39:09] 就是没有人要求他
[39:10] 做过其他的事情
[39:11] 所以看来就是很多
[39:12] 奇奇怪怪事件也遇过
[39:13] 其实就是很多
[39:15] 但我觉得我自己的想法是
[39:17] 因为我从头到尾
[39:18] 在我的部落格和网站上
[39:20] 我就
[39:20] 我经营的一直都是
[39:21] 分享旅游的资讯
[39:22] 就我不太是把自己
[39:24] 作为一个个人经营
[39:25] 就我上面不会出现
[39:26] 我自己日常的生活啊
[39:27] 不会出现我的其他东西
[39:29] 然后我觉得
[39:30] 所有看我的读者
[39:31] 都是相信他们觉得
[39:33] 我是一个会旅
[39:34] 应该说会旅行的人
[39:36] 或者是跟旅游行息相关
[39:37] 所以我觉得对我来说
[39:39] 推旅游的东西
[39:40] 是我比较
[39:41] 就像刚刚说的
[39:41] 就是我觉得比较有自信的
[39:44] 就是我觉得
[39:45] 它是可以变现的
[39:46] 因为他们会觉得
[39:47] 我一直在旅游
[39:48] 那我一直在旅游中
[39:49] 用的东西
[39:49] 那可能真的好用
[39:50] 那就是他们对我日常
[39:52] 可能是个什么样子的人
[39:53] 也不是很确定
[39:54] 所以如果我今天突然开始推了
[39:55] 那个年菜
[39:56] 他们也不知道
[39:56] 就是对啊
[39:58] 也不知道为什么有这个关系
[39:59] 年菜
[40:00] 但我就进去
[40:01] 我又不
[40:01] 就是我又没有经营一个
[40:02] 我是一个美食的人
[40:04] 或什么状态
[40:04] 那如果今天我开始推年菜
[40:06] 就是他们到底要怎么相信
[40:07] 我推荐的年菜是好吃的
[40:09] 很奇怪
[40:09] 很突兀
[40:10] 对
[40:10] 就是我觉得我在推年菜上面
[40:12] 没有说服力
[40:13] 对
[40:13] 确实
[40:15] 确实
[40:15] 就是
[40:16] 我不是觉得那是一个奇怪的商品
[40:18] 我只是觉得它出现在我的平台
[40:20] 好像没有说服力
[40:21] 不较不适合
[40:22] 就是没有说服力
[40:23] 而且就是像刚说
[40:25] 就我也很怕就是接了
[40:26] 然后大家就是忙了一堆
[40:27] 然后但因为没有说服力
[40:28] 然后最后就是成效
[40:29] 那我就就是
[40:31] 我自己心里也不好受
[40:32] 然后对厂商也不好意思
[40:34] 对对对
[40:34] 那我想说
[40:35] 那就就是
[40:36] 我还是先接
[40:37] 跟我比较
[40:38] 有关系
[40:38] 切身相关的
[40:39] Jesse今年做
[40:41] 以旅游作为职业的话
[40:43] 大概是第几年了
[40:45] 今年刚好第十年
[40:46] 所以我们认识
[40:48] 十年了
[40:49] 你们认识十年了
[40:50] 对
[40:51] 那你有想过
[40:53] 这个职业
[40:54] 你还会
[40:55] 再持续
[40:56] 做多久吗
[40:58] 你有这个感受到吗
[41:00] 应该说以现状来说
[41:02] 看起来还是可以活下去的
[41:05] 而且我真的很喜欢这个工作
[41:06] 所以目前的打算是
[41:08] 就是继续做做到不能做为止
[41:11] 因为有很多的就是
[41:12] 前辈学长姐其实是
[41:14] 有在规划说
[41:16] 没有办法持续这样子一直旅行
[41:19] 所以他们会有
[41:20] 在更远以后的打算
[41:23] 所以我想说
[41:23] 从你的视角里面来看
[41:25] 你有没有感受到
[41:26] 因为我就是感受到说
[41:28] 他们都会觉得说
[41:29] 他们的体力有限了
[41:30] 然后他们好像有一点点没有
[41:33] 这么想要在
[41:35] 这样子的工作的形态了
[41:37] 所以他们会去思考
[41:39] 就是说
[41:40] 好像会有需要停下脚步
[41:43] 但是停下脚步以后
[41:45] 要转做什么事情
[41:47] 他们可能还没有一个
[41:49] 实际的想法这样子
[41:51] 对啊
[41:52] 因为我觉得我的状态是
[41:54] 就是我目前为止
[41:56] 还是非常的享受这个状态
[41:59] 所以就是还没有想要退休
[42:01] 那体力的话
[42:02] 我觉得体力是
[42:03] 如果你一直持续持续在走的话
[42:05] 其实体力是会维持
[42:06] 就是你看那些欧美的那些阿公阿嬷
[42:08] 都就是白发苍苍的
[42:10] 他们都还在那里登山见习
[42:11] 所以我觉得体力是
[42:13] 如果你真的喜欢这件事情
[42:15] 然后持续在做的话
[42:16] 体力是可以维持的
[42:18] 我觉得体力就是至少做到退休
[42:20] 退休的年纪应该可以吧
[42:23] 也很多人是退休以后
[42:24] 才开始环游世界对啊那如果大家上班族退休以後可以環遊世界我覺得我至少至少可以做到那个年纪吧就是中间没有突发状况的话对那因为目前我就是还没有想要退休
[42:35] 所以我目前打算就是先
[42:37] 继续做做到不想做为止
[42:39] 那如果真的不能做的话
[42:41] 我觉得就是也不至于到失业
[42:44] 因为我觉得就是在这个过程里
[42:45] 就是不管是文字
[42:47] 或者是就是社群经营
[42:49] 或是什么东西
[42:49] 就是你其实还是会有很多
[42:51] 相关的能力
[42:53] 那或者是
[42:54] 就是我也跟一些厂商
[42:55] 维持着不错的关系
[42:57] 对
[42:57] 然后就是
[42:58] 其实也有谈过
[42:59] 就是我甚至是就是
[43:01] 现在就有被问过
[43:03] 要不要去某一些厂商
[43:04] 里面工作这样子
[43:05] 对对对
[43:06] 那所以就
[43:07] 我觉得就是
[43:07] 继续维持这样的状态
[43:08] 那如果哪天
[43:09] 真的不行的话
[43:11] 我觉得那就是看我的当下
[43:12] 我觉得我的能力
[43:13] 可以做什么
[43:14] 然后我手边的资源
[43:15] 可以让我做什么
[43:16] 那我觉得就是
[43:17] 再去找一份
[43:18] 我当下觉得可以的工作
[43:20] 然后把它做好吧
[43:21] OK
[43:22] 你这次出的这本书
[43:24] 我觉得很像一个旅游
[43:27] 旅游作家的职场的指南的
[43:31] 这样子的一个角色这样子
[43:33] 那你有没有觉得就是说
[43:35] 比如其实现在可能
[43:36] 都还是有很多人觉得说
[43:38] 我应该来做所谓的那个
[43:40] 旅游的这个KOL
[43:42] 给这些人一些建议的话
[43:45] 你会说什么
[43:47] 就是如果真的有想要做旅游KOL的话
[43:50] 就是我最大
[43:52] 我有很多很多很多的建议
[43:55] 就是如果有看到那本书
[43:56] 本身就知道
[43:57] 里面字超级多
[43:59] 就是我写了满满的
[44:01] 就是我有很多想给的建议
[44:02] 那如果只能说一件事情的话
[44:03] 我会说就是
[44:04] 先开始就是上网开始写
[44:07] 就是对
[44:07] 不管是你要写在部落格
[44:09] 写在任何你喜欢的社群
[44:12] 就是先开始写了
[44:14] 就是后
[44:14] 第一件事情是你先开始写了
[44:16] 后面才会有机会
[44:17] 第二件事情是你先开始写了
[44:19] 你才会知道
[44:19] 你到底喜不喜欢这件事情
[44:21] 还是你只是想象你喜欢这件事情
[44:23] 因为我觉得就是实际做了以后
[44:26] 你会发现很多的
[44:28] 不管是困难的地方
[44:30] 或者是跟想象不一样的地方
[44:32] 然后我觉得那些事情都是
[44:33] 你在实际写之前
[44:35] 或者是说你在实际踏入这个行业之前
[44:38] 你不会知道的
[44:39] 所以我觉得就是
[44:41] 不管是你想要被看见
[44:43] 还是你想要知道
[44:44] 自己适不适合这个工作
[44:46] 能不能做这个工作
[44:47] 就是最简单也最快的方法
[44:49] 就是开始写
[44:50] 就是开始写了以后
[44:51] 很多答案其实他就会
[44:52] 自己慢慢的跑出来
[44:53] 你在这个中间有度过所谓的就是低潮期吗对你自己来说这十年我觉得最难的就是疫情
[45:05] 疫情那几年吧
[45:06] 对因为就是真的是突然间
[45:08] 收入就真的是一个瞬间归零
[45:11] 然后就是
[45:12] 对啊当时也真的是很认真的想过
[45:14] 我是不是就是不要再做这个
[45:17] 去上班
[45:18] 因为就是不确定疫情会持续多久
[45:20] 然后对啊
[45:21] 那当时我觉得
[45:22] 我觉得一路以来
[45:25] 我很幸运的事情是
[45:26] 我的贵人运一直都很不错
[45:28] 对
[45:29] 然后一路以来
[45:30] 我也觉得就是
[45:31] 真的是生活中
[45:32] 你所有做过的事情
[45:34] 我觉得它都会是有意义的
[45:35] 对
[45:36] 因为就是在我那时候很烦恼
[45:37] 我甚至已经开始打开履历
[45:39] 在学我的履历的时候
[45:40] 就是我的那个前同事
[45:42] 然后还有一些
[45:44] 就是以前学生时代的朋友
[45:46] 就是他们知道
[45:47] 我现在遇到了这样的状况
[45:48] 那他们可能也
[45:49] 多多少少知道
[45:50] 我以前在工作的时候
[45:51] 因为我当老板的特助
[45:53] 我其实帮老板写了很多
[45:54] 商业上的不管是提案
[45:57] 还是是简报或是什么东西
[45:59] 然后他们就说那他们
[46:00] 其实他们创业
[46:01] 他们现在公司里也有一些
[46:03] 去就是去政府标案啊
[46:05] 或者是去申请补助的计划书需要写
[46:08] 然后因为那些东西就是
[46:09] 其实是有固定格式
[46:11] 然后就需要产出很多文字
[46:12] 然后他们就说那还是我可以帮他们做这个
[46:14] 所以我当时就开始就是
[46:16] 直接帮别人写他的公司的什么
[46:19] 公司的简介啊
[46:22] 公司的提案啊
[46:23] 然后开始
[46:24] 甚至是帮一些厂商
[46:25] 就是经营他们的社群啊
[46:27] 对对对
[46:28] 然后就开始
[46:28] 就是一路这样做做做
[46:29] 然后做到后来
[46:30] 台湾国律开始可以做以后
[46:32] 就才开始继续做国律
[46:33] 然后就下来
[46:34] 然后所以后来就觉得
[46:35] 好像反正你在每个阶段
[46:37] 好好的做好
[46:38] 每个阶段的事情
[46:39] 你累积下来的东西
[46:40] 就是总有一天就会出现
[46:42] 那我觉得对我来说
[46:44] 最困难最困难
[46:45] 就是真的是
[46:45] 疫情发生的那个时候
[46:47] 那剩下的就
[46:49] 我觉得都只是就是
[46:50] 日常生活的起起落落
[46:53] 就是对啊
[46:54] 当然还是会有就是写到很累
[46:56] 很想放去的时候
[46:57] 但就是后来就是写完以后
[46:59] 开始去旅行
[46:59] 会觉得好快乐
[47:00] 我可以坐很久这样
[47:02] 对不对
[47:03] 就是一直呈现这个起伏
[47:04] 就是写的好累哦
[47:06] 然后那下一次
[47:07] 就是买好机票以后
[47:08] 就是啊我可以再写
[47:09] 我可以再写好多
[47:10] 没问题没问题
[47:12] 再来再来这样子
[47:13] 对对对
[47:14] 我觉得他第一个是
[47:15] 我觉得Jesse
[47:16] 一直很投入在这个里面
[47:18] 真的耶
[47:19] 而且他
[47:19] 不允以为苦
[47:21] 真心热爱
[47:22] 真的真的
[47:22] 你可以感受到
[47:23] 然后再来就是
[47:24] 其实他的文字的能力真的非常强对对你可以我觉得就是说虽然因为他这个算是一个就是职业指南你也可以从里面看到很多
