[00:00] 主持人：歡迎來到好聲音。
[25:30] 來賓：不過偷偷看到。
[25:31] 主持人：你很會賣。
[25:32] 來賓：建商賣了四億多的房子。
[25:33] 主持人：四億多的房子。
[25:34] 來賓：你看，我是高科技來的，我是B2B出身。
[25:37] 主持人：B2B出身。
[25:38] 來賓：可是房子我親手一賣，就賣了四億多。
[25:41] 主持人：對。
[25:41] 來賓：為什麼？因為就是做人做事道理，那人家信任你，你只是在他需要推他一把，其實我們買的辦公室也不錯，你也可以來看看，你看就這樣順水推舟。所以業務就是你怎麼找到那個對的TA，在他需要出現的時候，你推他一把就這樣。
[25:58] 主持人：對。
[25:59] 來賓：那平常沒有怎麼辦？你就創造場景，就這樣概念。所以這堂課很特別就是，剛好AI時代出現，我們過去的專業知識不值錢了，因為AI秒回，就把我們過去專業知識。可是AI沒有人味，AI不曉得怎麼拉近用戶的心理距離，AI不曉得怎麼建立人跟人的這種作業系統。我們可以做，這是���務最大，我覺得是AI時代裡面，可以讓人類的價值發揮更大的，就是人味跟業務能力。
[26:27] 主持人：對，就老師上堂課，就上一集特別跟我們分享，一個非常重要的業務要具備能力，就做人做事的道理。那個道理，基本上講公道自在人心嘛，我想你不希望別人怎麼對你，或你希望別人怎麼對你，你就怎麼對別人，跟怎麼不要對別人。我覺得這件事情是我們回到身為一個業務很重要的關鍵。
[26:49] 來賓：Golden Rule。
[26:49] 主持人：Golden Rule，所以非常開心有這樣的機會呢，推薦這樣好課，超級業務力，也希望大家把這超級業務力跟超級數字力這兩堂課呢，當成是讓自己變好，跟回饋怎麼樣變好的兩堂好課。
[27:04] 來賓：是。
[27:05] 主持人：對不對？我覺得這件事情是非常重要的。那現在呢，好聲音，還是有一些特別優惠的想要跟大家分享一下，我們大概從一月初到二月底的話，限時會有優惠期間，那好聲音的話有專屬的折扣碼，輸入這個好聲音500，還可以再折500元，那某種程度上聽好聲音還是有優惠的，這個也是我們對客戶一個非常大的好處。所以也祝老師這堂課呢，能夠加會更多的人，謝謝他的生活上面，在他的工作上面，可以更好之外呢，能懂得就是對別人好，讓自己好，也讓整個團隊能夠共好。我覺得這是人生當中最幸福的事情。謝謝老師，祝老師新年快樂。
[27:43] 來賓：謝謝，祝大家新年快樂，謝謝。
[27:45] 主持人：拜拜。好聲音，我們下一集再見。
