[00:00] 小时候总认为幸福是一味的甜
[24:23] 造成了一个蛮严重的影响
[24:26] 那我就开始去正视
[24:29] 钱要留在我自己身上这件事情
[24:31] 我看过很多大钱
[24:32] 对我来说可能是300 500
[24:34] 那个算是一个奇数
[24:36] 因为有些人可能觉得
[24:37] 10万20万它是一个奇数
[24:39] 可是当时我们光是break even
[24:41] 要1200多万
[24:43] 是break even
[24:45] 就是只是损益平衡
[24:47] 对对只是损益平衡
[24:48] 而要1200多万
[24:50] 所以那时候对我来说
[24:51] 就是这个就是数字
[24:54] 然后可能三五百万才是一个极数这样子那到后来我创业就会发现其实留在身上的钱五千块我也好开心三千块我也好开心
[25:06] 我都会跟大家讲说
[25:06] 你一千两千你都可以存
[25:08] 你都可以去做
[25:10] 因为它就是你手上拿着的东西
[25:12] 不是进去周转之后就没了
[25:14] 你看到一千万进来
[25:16] 然后一千两万出去
[25:17] 你还要倒出两百
[25:17] 有什么意思呢
[25:18] 是是
[25:19] 对啊
[25:20] 就是真的没有意思
[25:21] 就拿在手上的才是真金白银
[25:23] 然后我生活也过得
[25:25] 越来越简单
[25:26] 我觉得这样子我很快乐
[25:28] 对我以前好像大家都
[25:30] 看你的title
[25:32] 因为我曾经创业过好多次
[25:33] 我后续陆续创业过蛮多次
[25:35] 那那个title不是营运长
[25:37] 就是什么什么经理
[25:38] 然后不然就是拿了
[25:40] 拿一个资本的投资什么的
[25:41] 他就是名片上的东西
[25:44] 现在名片是家庭主妇
[25:45] 对
[25:46] 他都说我就是家庭主妇
[25:49] 有这种家庭主妇吗
[25:51] 有啊
[25:51] 一天到晚在想说
[25:53] 我儿子今天
[25:54] 我儿子明天要去游泳
[25:55] 如果你们要去的话
[25:56] 可以一起去
[25:57] 对
[25:58] 就是这种生活
[26:00] 让我觉得
[26:00] 其实
[26:01] 我现在的生活
[26:03] 才是
[26:03] 真的在
[26:04] 活着
[26:06] 就你真的可以呼吸
[26:08] 然后去做自己
[26:08] 很喜欢做的事情
[26:10] 所以我现在有时候
[26:10] 很拦挪
[26:11] 都说
[26:11] 艾比拜托啦
[26:12] 麻烦你啦
[26:13] 就是
[26:14] 就是很拦挪
[26:15] 把事情丢给别人
[26:16] 刚刚忘记讲
[26:17] 我是三迪兔的经纪人
[26:19] 对
[26:19] 所以为什么
[26:21] 为什么
[26:21] 为什么
[26:22] 为什么
[26:23] 为什么都不是我在问问题
[26:24] 是因为我跟他太熟
[26:26] 他很多事情我都知道
[26:27] 所以就这样
[26:28] 刚那一段我还真没听过
[26:30] 我还真没听过
[26:31] 很有趣很有趣
[26:33] 你没听过
[26:33] 所以你就可以更理解我
[26:35] 为什么现在的状态是这样
[26:36] 我超级松弛的
[26:38] 因为该紧绷的时候都紧绷
[26:40] 他自己已经转完了啦
[26:41] 他现在是那个停下来的战斗陀螺
[26:44] 他以前给我感觉就是
[26:47] 一直在战斗
[26:48] 一直战斗
[26:50] 可是我停下来的战斗陀螺
[26:52] 我还是有在战斗
[26:53] 他时不时还是会战斗一下
[26:55] 但没有转那么凶
[26:56] 不会再有任何人怀疑你不会战斗
[26:59] 对
[26:59] 可是父母家里可以理解你的
[27:03] 你现在在干嘛
[27:04] 对
[27:05] 我爸才有趣
[27:06] 我爸有一次他就说
[27:08] 那你现在在做的工作
[27:11] 他看我社群媒体
[27:12] 然后他就问我说
[27:14] 你们那个妈妈商学院
[27:16] 他老板对你好吗
[27:17] 我想说
[27:21] 他老闆对我蛮好的
[27:23] 他老闆你也很熟
[27:24] 哈哈哈哈哈哈哈哈我觉得我们的父母不太能够理解真的我们在干嘛对我妈上个礼拜还问说
[27:35] 你现在去
[27:36] 就是你讲课有钱吗
[27:40] 然后你跟人家合作有钱吗
[27:42] 我妈也问过一样
[27:43] 然后我就说
[27:44] 有时候钱不是最重要的事情
[27:46] 然后我就觉得
[27:47] 他们可能听到就是
[27:48] 没有钱
[27:50] 没有钱这样子
[27:52] 然后我就想说
[27:53] 有这么难去
[27:55] 然后还要问很细
[27:56] 说那现在一个小时多少钱
[27:59] 我说有时候不一定
[28:00] 就是我看我想不想要
[28:02] 跟对方合作而已
[28:03] 就是这样子而已
[28:04] 然后他们就
[28:05] 不能理解
[28:07] 不能理解
[28:08] 对
[28:08] 然后还是在问说
[28:09] 那你老板是谁
[28:10] 像我妈就大概已经理解说
[28:13] 我就是我自己
[28:14] 然后我爸就还是会说
[28:16] 那你的老板
[28:17] 你的主管到底是谁
[28:18] 你到底要对谁负责
[28:19] 我就说我对自己负责
[28:20] 对
[28:24] 所以你刚刚问我说
[28:26] 是不是过去的经验
[28:28] 我觉得是
[28:28] 就是过去的经验
[28:29] 所以那时候
[28:30] Ivy很想离职的时候
[28:31] 我不是听一听
[28:32] 听一听你讲你的诗
[28:34] 然后你想要的东西
[28:35] 然后我就
[28:36] 我脑袋其实已经在
[28:37] 觉得已经有
[28:39] 可以兜出来了
[28:40] 我可以变成经纪人
[28:41] 真的多亏她
[28:41] 真的
[28:42] 那以前就还在那边社畜
[28:44] 真的
[28:44] 我在中
[28:45] 就是在之前
[28:46] 节目前面讲过嘛
[28:48] 纠结了两三年
[28:49] 到底要不要离职这件事情
[28:51] 那他就在旁边一直讲说
[28:52] 我觉得你可以自己出来
[28:53] 做经纪人啊
[28:54] 你当我经纪人啊
[28:55] 一直讲一直讲
[28:56] 我们就找几个老师
[28:57] 你就当他们的经纪人啊
[28:59] 他还帮我凑了几个局
[29:00] 凑了一个局吧
[29:01] 我自己吃火锅
[29:02] 凑了几个老师
[29:03] 对凑了几个老师
[29:04] 这些老师每个人
[29:04] 你都当他的经纪人
[29:05] 这样你就可以
[29:06] 你的收入可以成功
[29:07] 他就帮我想好这样
[29:08] 然后我心里还想
[29:09] 我那时候是怀疑自己
[29:11] 我做得到吗
[29:12] 所以我不是说
[29:13] 从我先开始吗
[29:14] 对
[29:14] 然后他还不敢跟我抽成
[29:16] 我不敢
[29:16] 我不敢
[29:17] 对你那时候为什么不敢跟我抽筷
[29:19] 我那时候就觉得对自己没有信心
[29:21] 自信比较低落
[29:21] 然后还有一个
[29:22] 对一个是自信比较低落
[29:23] 一个
[29:23] 第二个就是觉得
[29:25] 很担心离开之后
[29:27] 收入会不稳定
[29:28] 因为我是个很在意稳定的人
[29:30] 对那时候我就很担心
[29:31] 如果这样的话
[29:32] 我这个如果都要靠分论
[29:33] 我这样收入会不会不稳定
[29:35] 我那时候很怕这件事情
[29:36] 所以我就一直在那边犹豫个半天这样
[29:39] 但我觉得就是也好
[29:40] 就是因为他一直在旁边一直讲嘛
[29:42] 就像广告一样
[29:43] 没有他真的可以
[29:44] 因为我觉得我看人很准
[29:46] 对他真的看人很准
[29:47] 我看人很准
[29:48] 我到目前为止我看中的
[29:49] 几乎都会中
[29:50] 嗯
[29:51] 嗯
[29:51] 不知道为什么啦
[29:53] 可能是因为过去工作经验看
[29:55] 其实我常常在面对人
[29:57] 非常非常密集
[29:58] 我只能一天整天都
[29:59] 在开会
[30:00] 对内对外整天的
[30:02] 那个很可怕的密集度
[30:04] 然后你知道
[30:04] 对外有的时候会有非常多的挫折
[30:07] 因为不是每个人都是好人
[30:08] 对
[30:08] 所以那时候我看到Ivy
[30:10] 我就看到她完全可以耶
[30:12] 她完全可以
[30:14] 第一个是人格特质
[30:16] 因为她一定
[30:16] 她累积了非常非常多好的人脉
[30:18] 然后她很热心
[30:20] 然后再来是她有能力
[30:22] 她的组织能力很好
[30:23] 然后她也有
[30:25] 其实她自己知道
[30:26] 如何去提案
[30:27] 如何做成一个专案
[30:29] 然后他其实也有
[30:30] 气化的能力
[30:31] 然后再加上
[30:32] 他这些人脉
[30:33] 你知道我在
[30:34] 你的人脉旁边看到
[30:35] 就是钱钱钱
[30:36] 我那时候完全没有
[30:37] 这感觉
[30:38] 我只想说
[30:38] 不就认识的人吗
[30:39] 他就觉得是
[30:41] 但是我为什么说
[30:41] 他是钱
[30:42] 不是因为我贪心
[30:44] 想要从人家身上赚钱
[30:45] 是因为他是一个
[30:46] 互惠互利的
[30:47] 资源啦
[30:47] 资源交换
[30:49] 后来我才理解
[30:50] 对啊
[30:51] 因为如果我没有IV的话
[30:52] 说实在我知识卫星的课
[30:54] 我不一定开得成
[30:54] 是
[30:55] 对
[30:55] 可是IV如果没有我
[30:57] 她现在还在
[30:57] 还在
[30:58] 还在上班
[30:59] 所以它是一个互惠互利的过程
[31:02] 它并不是说谁比较厉害
[31:05] 或是你从谁身上赚钱不是
[31:07] 是我们一起把这个产业放大
[31:09] 所以你现在进到盛德行旗下七八十个老师
[31:13] 真的
[31:13] 对啊谢谢啦
[31:14] 真的他就是
[31:15] 我觉得他就是帮了我很多这一点
[31:17] 我真的觉得超感谢
[31:18] 我就是很爱mermere
[31:20] 对对对
[31:21] 然后让他觉得这个是有可能性的
[31:22] 是可以哦
[31:23] 可是我觉得很需要
[31:24] 真的啊
[31:25] 就是你要有一个
[31:26] 有一个造梦的人告诉你说
[31:27] 没错
[31:28] 梦可以怎么去
[31:28] 而且因为他不是
[31:30] 坐在窝里面幻想的
[31:32] 就是你知道他过去的背景跟经验
[31:34] 我会算给他听
[31:35] 他会讲
[31:35] 然后你知道
[31:36] 那我觉得除了有一个造梦的人之外
[31:38] 要有一个真的把梦做出来的人
[31:40] 才能够把这件事情成
[31:41] 逐梦的人
[31:42] 对那我就觉得像我跟Andy
[31:43] 可能就是那种
[31:44] 把这件事情做出来的人
[31:46] 因为我就是一直讲一直讲一直讲
[31:47] 因为我以前的工作习惯
[31:48] 就是一直开会一直开会
[31:49] 然后每个部门就要去做
[31:50] 所以我可以一次做N个专案
[31:53] 因为我那时候刚开始出来创业的时候
[31:55] 我写的那个计划书超大
[31:58] 你知道吗
[31:58] 然后我发给我朋友看
[31:59] 那我朋友也是一个
[32:00] 就是跨国行销公司的主管
[32:02] 然后他就说
[32:03] 你这个你是要募多少钱来做
[32:05] 因为这是我以前的工作习惯
[32:07] 就是我公司
[32:08] 我是follow每一个部门的进度
[32:10] 去做所有的专案的
[32:12] 我现在工作也还是这个习惯
[32:14] 就是团购有团购的部门
[32:16] 然后像他们是
[32:17] 就是知识产业
[32:18] 跟那个业务配合的部分嘛
[32:21] 然后也会有
[32:22] 那个妈妈商学院是培训
[32:24] 然后幸福艺学院然后还有他也是现在做很多个专案然后每个专案有个头这样子对对对对这是我以前习惯做事的方式可是以前我们是发薪水啊我现在全部都是用
[32:35] 合作的
[32:36] 合作抽成的方式
[32:37] 是不是现在这样更好
[32:38] 因为大家其实自主性很高
[32:40] 主动的在做配合
[32:42] 而且我很愿意
[32:43] 我很愿意分成
[32:46] 所以我现在应该是所有公司里面
[32:48] 就是愿意分最多的KOL
[32:49] 这我不好说
[32:51] 有啦算了啦
[32:53] 断前几位
[32:54] 断前几位
[32:55] 对
[32:55] 对因为我会自己讲说
[32:57] 我觉得可以
[32:57] 然后我不用自己拿这么多
[32:59] 因为大家都很辛苦
[33:00] 就是他是
[33:01] 到后来你会想说
[33:03] 如果我自己可以过得很舒适的话
[33:06] 我也想要我身边的人过得很舒适
[33:08] 因为这样他们才会
[33:10] 真的在生活
[33:11] 然后真的有空闲的时间可以呼吸
[33:14] 然后大家可以一起做
[33:15] 很棒的事情
[33:16] 我们才走得久啊
[33:17] 如果说只有我一个人赚钱
[33:19] 然后大家在那边哭哈哈的
[33:20] 真的
[33:21] 那很快就不想做了
[33:22] 但我覺得兔兔有一個很厲害的
[33:24] 一個號召力
[33:26] 就是跟他一起合作的人啊
[33:28] 你並不會覺得你在
[33:30] 跟一個老闆交代什麼事情
[33:32] 你真的會覺得我跟他合作
[33:34] 我是在為自己做事情
[33:35] 我覺得這是他很厲害的一個點
[33:37] 因為你們是啊
[33:38] 對
[33:39] 因為他就是傳達這個訊息給我們
[33:41] 所以會讓我們感受到
[33:42] 好我跟他合作這件事情
[33:44] 並不是為了要成就這個人
[33:46] 而是要成就我們的這種概念
[33:49] 我覺得這是很
[33:50] 就是在以前我們在公司裡面上班
[33:52] 很难得会遇到的状况
[33:55] 比较不容易
[33:56] 对
[33:57] 因为我是真心这样认为的
[34:00] 我是真心认为没有Ivy的话
[34:01] 我这些后面的后续
[34:03] 比如我后来上了自私卫星
[34:05] 然后后来接了很多的演讲
[34:06] 这些东西我自己是成不了的
[34:08] 就即便我的能力是一样的
[34:11] 但是这个一样
[34:12] 加了他进来就不一样了
[34:15] 温暖了
[34:16] 温暖了不得了我要哭了
[34:19] 你要帮你自己打輸
[34:22] 对我们都在闲聊
[34:23] 你知道我们只剩20分钟
[34:24] 可以打輸哦
[34:25] 我们一直都在值得
[34:26] 过上好日子啊
[34:26] 对啦确实啦
[34:27] 我觉得这个
[34:28] 我觉得我们刚才听到的
[34:29] 就是兔兔她
[34:31] 如何让自己过上好日子的
[34:33] 这一段的经历这样子
[34:35] 可是我觉得
[34:36] 如果你比如说
[34:37] 像我们看你
[34:38] 我就觉得说
[34:39] 你是理财已经很厉害的人
[34:41] 可是你觉得理财
[34:42] 还要再进步吗
[34:45] 还是其实你就已经是靠一个
[34:46] 固定的纪律跟习惯
[34:49] 然后并且把这样子的事情
[34:51] 然后copy给在你儿子身上
[34:53] 然后你的老公有没有受到这样的影响然后也OK好也copy出来这样子有吗我觉得两件事情是并行的第一个是我理财我其实非常的lazy因为我很多的时间都在做一些
[35:05] 有的没的
[35:06] 真的
[35:06] 所以我一定是用纪律下去做
[35:10] 可是为什么要进步
[35:11] 是因为你不知道这个世界
[35:13] 它之后会变成什么样子
[35:15] 我们还是要对产业
[35:16] 对整体的经济
[35:18] 大环境要有敏感度
[35:20] 所以你说我真的没有在
[35:22] 在接触一些可能
[35:24] 现在比较夯的题材吗
[35:27] AI吗
[35:27] 我还是会啊
[35:28] 我还是会啊
[35:29] 那我还是会
[35:30] 用少少的资金
[35:32] 然后去试试看
[35:32] 这个市场
[35:33] 现在的风向是什么
[35:35] 这个是为了要维持
[35:36] 我的市场敏感度
[35:37] 可是我90%以上的资金
[35:40] 全部都是几率操作
[35:41] 所以其实我两个都有
[35:43] 而且我一直不断的
[35:44] 在学新的东西
[35:45] 像最近要跟那个
[35:46] 爱丽老师学老屋改造
[35:48] 那我是
[35:48] 房地产
[35:49] 对房地产
[35:50] 那我是一个
[35:51] 非常积极的人
[35:52] 所以后来去上课
[35:53] 去跟Ivy一起上
[35:55] 那个不动产经济
[35:56] 对对对
[35:56] 我们也去上课
[35:57] 我们两个都考过了
[35:58] 想说考过要干嘛
[35:58] 我们要卖房子吗
[35:59] 没有欸
[36:00] 后来也不知道要干嘛
[36:00] 但其实上了课
[36:01] 确实还蛮有帮助的
[36:02] 教了蛮多东西的
[36:03] 嗯真的
[36:04] 她很密集
[36:04] 教了很多东西
[36:05] 所以后来就是
[36:06] 也是去上了不动产
[36:08] 然后现在去做老屋改造
[36:09] 然后我马上就找到一间老屋了
[36:11] 那Ivy也知道
[36:12] 对对
[36:12] 我马上就找到一间
[36:13] 然后我就可以开始实作了
[36:15] 大概七八月
[36:16] 我从邮轮玩回来
[36:17] 然后新书分享会结束
[36:19] 工作坊结束
[36:20] 哎呀好像又要八月
[36:21] 你的改造是要做软妆吗
[36:24] 还是再更
[36:25] 更heavy一点
[36:26] 就是
[36:27] 会再找人做更
[36:28] 我会
[36:28] 我现在是找了一个伙伴
[36:31] 进来帮忙
[36:31] 就是也是一个同学
[36:33] 我很常找伙伴帮忙
[36:34] 因为我知道我自己没有空
[36:35] 但我学会了
[36:36] 我看懂了
[36:37] 然后我跟他分论
[36:38] 所以我是找了一个
[36:40] 我儿子同学的妈妈
[36:41] 然后我请他进去帮我做
[36:43] 就是软妆的评估
[36:45] 然后
[36:46] 也找我同学
[36:47] 帮我做出租的部分
[36:49] 对
[36:50] 所以就是也是用合作的方式
[36:52] 那那个地段我觉得非常非常的好
[36:55] 所以现在就开始学新的东西
[36:57] 可是我现在不会开始教
[36:58] 因为我才刚进入
[36:59] 我只会告诉大家说
[37:00] 现在股市太好了
[37:02] 这是我的纪律
[37:03] 对
[37:03] 现在股市真的太好了
[37:05] 所以你的资产的股票部位
[37:06] 一定会涨非常的多
[37:08] 对
[37:08] 你原本的配置如果说是73
[37:10] 你现在应该是91了吧
[37:12] 因为股票真的涨太多
[37:14] 这时候我们要怎么样去把它平衡回来
[37:17] 你要把这个部分的钱
[37:18] 放到其他地方去
[37:20] 所以我决定去试试看新的东西
[37:22] 就是房地产
[37:23] 因为这个钱也是
[37:24] 从不是这样赚来的然后我试了一个新的东西万一他又有其他新的成就呢搞不好之后你们就会看到我开房地产课我不会开课
[37:35] 我开不宜爱丽老师
[37:36] 我去就好了
[37:37] 但是我应该会带着学员一起
[37:39] 去做某一些事情
[37:41] 如果我自己有成功的话
[37:43] 所以我一定是从我自己现在开始试
[37:45] 我现在不会推大家去上我的房地产课
[37:49] 因为我就刚开始的
[37:50] 这让我想到他去年
[37:52] 本来是去年吧
[37:52] 好像因为我有发现一些事情
[37:54] 就他去上了正念课程
[37:57] 你是不是后来拿到正照
[37:58] 拿到书里面
[37:59] 对
[37:59] 然后就后来就弄了这个
[38:01] 弄了这本书
[38:02] 对
[38:03] 对我就觉得他就是
[38:04] 当他想学什么的时候
[38:06] 他就会把它应用到极致
[38:07] 然后应用到他目前生活上
[38:10] 甚至他周边
[38:12] 包含我刚讲的
[38:13] 他研究老屋这件事情
[38:15] 然后包含他刚刚讲
[38:16] 我觉得去年
[38:17] 去年吧
[38:17] 他就学正念这件事情
[38:18] 因为我去年受伤嘛
[38:19] 对他去年就受伤
[38:20] 然后受伤需要很多
[38:23] 给自己很多正念
[38:24] 跟给自己很多鼓励跟安慰
[38:26] 对
[38:26] 所以他去上了这个
[38:27] 就是这些事情就变成
[38:29] 他去学了之后
[38:30] 他会发展到更多不一样的地方
[38:32] 包含那时候
[38:33] 我们那时候不太一起去禅修吗
[38:35] 对对对
[38:35] 他禅修完突然跟我讲说
[38:36] 我觉得可以弄个正业理财
[38:38] 我就很
[38:39] 人家禅修在睡觉
[38:42] 他没给我想商业模式
[38:45] 我想哇塞
[38:46] 这也太屌了
[38:47] 然后我就弄了
[38:48] 对我就弄了
[38:49] 就变这本书就出来了
[38:50] 对
[38:51] 就很厉害
[38:51] 禅修的时候禅出来
[38:53] 对
[38:53] 所以人家問我說
[38:54] 你這本書寫多久
[38:56] 我這本書是我所有書裡面寫最快的
[38:59] 嗯
[38:59] 對
[38:59] 因為你知道殘修很無聊嘛
[39:01] 然後正念
[39:02] 我們在上正念課的時候
[39:04] 也要打坐
[39:04] 也是打坐
[39:05] 所以我一個禮拜
[39:06] 那個時候一個禮拜是
[39:07] 一天跟你們去殘修
[39:08] 我另外一天是正念課
[39:10] 所以我一個禮拜要打坐
[39:11] 打坐兩天
[39:11] 打坐兩天
[39:12] 你知道我想得多清楚嗎
[39:14] 哈哈哈哈
[39:15] 哈哈哈哈
[39:16] 老師怎麼可以有兩天這樣空間
[39:18] 然後你心裡面就開始覺得發癢
[39:20] 不是很想把它寫出來
[39:22] 所以我这本书写蛮快
[39:24] 好棒喔
[39:25] 你看我就觉得真的超强
[39:26] 我觉得我在他身上
[39:28] 就是看到的这种动能
[39:30] 我们是用战斗陀螺来讲
[39:32] 对非常LENERGY的一个人
[39:34] 对但是你就知道说
[39:35] 他其实常常会
[39:36] 他也是嫌不下来的那一型
[39:38] 对就一直
[39:38] 他不停要去战斗
[39:39] 只是战斗多寡而已
[39:41] 他有新的东西
[39:42] 我还没跟你说
[39:42] 还没讲啊
[39:43] 你说你说
[39:44] 对对对
[39:44] 他没事讲一下
[39:46] 我要做什么了
[39:47] 对因为我这次不是因为
[39:49] 要带小朋友去游轮玩吗
[39:50] 然後那個Selina就幫我介紹
[39:52] 易飛王的飛車
[39:54] 然後他們想要跟我合作親子旅遊
[39:56] 很棒耶
[39:57] 欸這好像一直是
[39:58] 他也是一直
[39:59] 两年就跟我讲过的事情
[40:00] 我很爱玩
[40:01] 我很爱玩啊
[40:02] 但我没有时间做啊
[40:03] 然后我就跟
[40:04] 我就跟他们讲说
[40:05] 现在我们先不用
[40:06] 以赚钱为优先
[40:07] 我就先让大家习惯
[40:09] 我会在大家一起出去玩
[40:11] 所以就开始去规划
[40:13] 跟旅游相关的东西
[40:14] 那他转型成旅游部落客了
[40:16] 我觉得应该蛮难的
[40:18] 但我还蛮鼓励大家
[40:20] 不会不会
[40:20] 我觉得有机会
[40:21] 你先加那个
[40:22] 冒牌生的那个
[40:24] 他的那个旅游的那一群
[40:26] 对你先看
[40:26] 他没有
[40:28] 一天到晚去外面玩
[40:29] 他没有
[40:30] 但我觉得他做的非常棒
[40:32] 好
[40:32] 那我先参考一下
[40:33] 我想要说的是
[40:35] 我觉得值得过上好日子
[40:37] 就是你知道你喜欢什么
[40:38] 然后我们去执行去做
[40:40] 所以我期待的是
[40:42] 跟我一起在做理财的这一群
[40:45] 不管是妈妈小资族群都好
[40:47] 我们每年如果你是喜欢玩的人
[40:49] 你要留旅游的经费下来
[40:51] 我们一年就是寒暑假
[40:53] 或者是春节
[40:54] 什么时候都好啦
[40:56] 就是小朋友可以的时候
[40:57] 我们出去玩个一次两次
[40:59] 然后把它弄成一个
[41:01] 可能是群组或是什么
[41:03] 然后我们尽量去争取
[41:05] 比较好的方案
[41:06] 或是好的
[41:07] 就是团队的资源
[41:10] 跟他真的会省很多
[41:11] 他都会去争取到很多厉害的东西
[41:15] 我好奇
[41:16] 如果我一个月只有
[41:17] 只有办法存五千块
[41:18] 那请问我这五千块
[41:19] 到底是全部存起来
[41:20] 还是三分之一去投资
[41:22] 当旅游基金
[41:23] 三分之一旅游
[41:24] 然后三分之一存起来
[41:25] 你看你的目标
[41:26] 因为我都没有
[41:27] 几乎没有有纪律的投资
[41:29] 那你要先盘点
[41:31] 就是看你剩下的钱剩下多少
[41:33] 然后还有你现在的投资标的
[41:35] 是哪一些需不需要换
[41:36] 然后还有你这些投资进去的钱
[41:38] 你是要做什么用的
[41:39] 比如说你现在
[41:40] 搞不好你的投资金额里面
[41:41] 已经有五十一百万了
[41:42] 可是你不一定知道
[41:43] 因为有很多人是乱投
[41:45] 基金也有一点
[41:46] 然后保单也有一点
[41:47] 什么东西都有一点
[41:47] 搞不好他已经累积上百万
[41:49] 说不定
[41:50] 我蛮多朋友
[41:51] 就是最后统计出来说
[41:53] 哦原来我有钱了
[41:54] 对对对
[41:54] 因为很多人都是我这边
[41:56] 听人家说我投一点
[41:57] 那边同一点
[41:58] 可是你没有统计过
[41:59] 那你统计出来
[42:00] 这一包钱
[42:01] 有可能我要做退休金
[42:04] 我要做什么样子的计划
[42:05] 我要做旅游计划
[42:06] 你再把它分配进去
[42:07] 这时候你才会知道
[42:09] 你这五千块要放哪里
[42:10] OK
[42:10] 最基本的
[42:12] 对
[42:12] 所以大家都是
[42:14] 把钱规划好之后
[42:16] 大家一起出去玩
[42:17] 然后我就找了
[42:18] 我们另外一个
[42:19] 妈妈商学院的朋友
[42:20] 他自己是
[42:22] 休闲管理系毕业的
[42:24] 就9M他知道他有的对对对他是秋前管理系统他很爱玩他每年都帮自己规划家族旅游她以前为什么会来上妈妈上学院科就是因为她每年出去旅游
[42:36] 到自己快要破财
[42:37] 很爱玩
[42:38] 很爱玩
[42:39] 所以呢
[42:41] 她结婚之后发现
[42:43] 好像不行
[42:44] 然后她才开始
[42:46] 就进入到妈妈上学院学习
[42:47] 那现在也很厉害
[42:49] 她现在都会
[42:49] 预算是多少
[42:50] 这次我们八月份去立新
[42:52] 完全都靠她
[42:53] 对
[42:54] 真的
[42:54] 我们揪了44个人
[42:56] 真的
[42:56] 44个人上船
[42:57] 可以了
[42:58] 真的
[42:58] 我觉得很棒的是
[43:00] 如果她也很想要发挥
[43:03] 我觉得这也是一个很好的方向
[43:05] 只是因为Joanne她的工作性质
[43:07] 是比较文书类的
[43:09] 所以在可能活动企划呀
[43:11] 或者是后面的策略呀
[43:13] 之类的就要麻烦Ivy
[43:14] 然后我们就有可能
[43:16] 每年就算不赚钱没关系
[43:18] 对
[43:19] 但是最后一定
[43:20] 都有去
[43:20] 都有去玩到
[43:22] 都有去经历到
[43:23] 但是最后一定会
[43:24] 一定会获利
[43:25] 因为没有获利的事情
[43:26] 是没办法持续运转下去的
[43:28] 或所谓的获利
[43:29] 可能是我们玩的比较便宜
[43:31] 或者是什么
[43:31] 这也算是一种获得
[43:33] 对
[43:33] 对啊
[43:34] 它就会是一个很好玩的事
[43:37] 真的
[43:37] 好
[43:37] 怎么又多一条线
[43:39] 很棒啊
[43:40] 我觉得这个是一个好的滚动
[43:42] 这是
[43:42] 这是就像回到
[43:43] 你的书里面就是很多
[43:45] 我发现你的书里面有很多提醒
[43:48] 就是有一句话叫做
[43:50] 你想要成为什么样的人
[43:52] 你的书里面
[43:53] 几乎每一个章节
[43:54] 都有讲到这件事情
[43:55] 就是当你有金钱
[43:56] 你想成为什么样的人
[43:57] 或者是
[43:58] 你要先思考
[43:59] 你想成为什么样的人
[44:00] 你要怎么去配置你的金钱
[44:02] 我觉得这个是
[44:03] 很重要的
[44:04] 就是回到自身这件事情
[44:05] 可是你要成为什么样子的人
[44:07] 什么生活会让你舒服
[44:09] 这才是重要的
[44:10] 对
[44:10] 太多人在投资
[44:11] 然后就看着那个
[44:12] 投资报纸
[44:13] 就会被人家
[44:14] 牵来牵去
[44:15] 对对对
[44:16] 我这一次也是
[44:17] 我把钱抽出来
[44:18] 然后去做房地产的时候
[44:20] 我心里面其实很不舒服
[44:21] 他还在那边纠结很久
[44:23] 在我位置旁边一直 murmur
[44:24] 一直 murmur
[44:24] 因为我在说服我自己啊
[44:27] 因为我知道他一定会继续在讲
[44:30] 因为这个议题还没有过嘛
[44:31] 就是大家都还在
[44:32] 持续可能会两三年的时间
[44:34] 我自己的判断不代表就是
[44:36] 不代表事实
[44:37] 我自己的判断
[44:38] 所以那时候他抽资金出来的时候
[44:40] 我想说啊
[44:41] 我舍不得
[44:41] 我就一直 murmur
[44:43] 我大概 murmur了两个多礼拜
[44:45] 然后我就跟他讲说
[44:46] 可是我钱已经抽出来了
[44:48] 我已经把他放进房地产里面了
[44:50] 可是我还是觉得我很
[44:51] 不舒服
[44:52] 然后到这两个礼拜啊
[44:53] 我已经没事了我这两个礼拜我就跟所以你也是会还是他会犹豫啊会焦虑金神的挪移还是会有一些那个的我知道该做什么可是该做什么不代表说我的心不会受影响啊
[45:06] 因为就是人性
[45:07] 这是人性
[45:08] 然后这两个礼拜
[45:08] 我就跟Andy说
[45:09] Andy
[45:10] 我已经没有不舒服的感觉了
[45:11] 因为我解决了
[45:13] 就是我这件事情
[45:14] 已经过去了
[45:15] 我的理性
[45:15] 我已经操作完了
[45:17] 然后
[45:18] 我也没有说战胜
[45:20] 我是慢慢的去消化
[45:22] 然后我跟他讲说
[45:23] 我不知道
[45:24] 我前几个礼拜
[45:25] 我到底在焦虑什么
[45:26] 因为我觉得这些钱
[45:27] 我觉得是赚得回来的
[45:28] 可是那就是人性啊
[45:29] 对
[45:29] 这真的是人性
[45:30] 就是破坏了你的习惯
[45:31] 跟舒适啦
[45:32] 对
[45:32] 应该这样说
[45:33] 对对对对
[45:34] 我说嗯
[45:35] 我一定是赚得回来的啊
[45:36] 所以现在少赚又没怎么样
[45:37] 嗯
[45:38] 对
[45:38] 然后我就突然
[45:39] 突然间想开了
[45:40] 我知道是少赚的那件事
[45:42] 对是少赚
[45:43] 其实少赚
[45:44] 就觉得可惜
[45:45] 舍不得
[45:46] 对
[45:46] 压钱压在那边
[45:48] 对
[45:49] 对
[45:49] 就是这件事情
[45:50] 让我觉得
[45:51] 可是我明明知道
[45:53] 我做这件事是对的
[45:54] 然后我就还是会说服我自己
[45:56] 也会用就是书里面的工具
[45:58] 对
[45:58] 书里面有一些自由书写啊
[46:00] 精油啊什么的
