[00:08] 主持人：哈囉，各位聽眾朋友大家好，歡迎收聽哇賽新觀點，與你一起發現新視野，我是宇澤。我們常常想要財富自由啊，要賺更多錢，可是其實還有一個更基本的問題，很少會想起來，就是你的金錢觀到底是什麼。有些人呢，會揮金似土，那有些人呢，可能帳戶很多錢，可是心裡還是很焦慮說，哎呀，我的錢不夠。所以呢，核心還是要了解你自己的金錢觀，你才可以更延伸說，欸，我怎麼理財，我怎麼投資。可是再進一步啊，當我們結婚有伴侶有小孩之後，其實你的金錢觀已經不再是你的金錢觀了喔，因為你的家庭金錢觀必須要溝通嘛。所以家庭理財的難處不只是你要賺錢，不只是你的金錢觀，更重要的是你跟你伴侶之間，你們的觀念是不是一致，而且要怎麼溝通呢？所以今天呢，我們就想要來從自己的金錢觀，然後延伸到伴侶，甚至孩子的理財跟金錢觀，以及在家庭裡面我們怎麼來溝通。那我們今天邀請的來賓呢，就是在家庭理財方面非常有經驗的精算媽咪 Sandy Tu。
[01:15] 來賓：哈囉，大家好，我是陪你精算生活，創造理想人生的 Sandy Tu。
[01:19] 主持人：對，其實家庭理財是一件不容易的事情啊，因為我們一般講最簡單的，比方說像我們這種中年男性，就說好，交給老婆管，或者是現在很多年輕人說我們就 AA 管，但老實說其實也沒有那麼簡單，你說 AA 真的有辦法算到全部都 AA 嗎？
[01:37] 來賓：其實蠻難的。
[27:31] 主持人：不過我覺���你剛剛講的，我覺得核心的重點是你一剛開始先接觸他的情緒同理他，他至少他覺得我沒有被拒絕，然後我們再跟他討論的時候也不是以拒絕為前提，我們是以可以買為前提。
[27:44] 來賓：對。
[27:45] 主持人：只是說什麼情況下可以買，你可以存錢買，或者是你有什麼特殊表現要慶祝的時候買，或是生日買等等的，這都可以。所以用這種方法，大部分五六歲以上，其實都漸漸可以溝通這樣子的觀念。
[28:01] 主持人：都遠比我們說不行買，我們家很窮。
[28:04] 來賓：對。
[28:04] 主持人：都還要好很多。
[28:05] 來賓：對啊，因為他會記住我們家很窮這件事情，長大之後就會是他的限制信念，他可能會害怕投資，或者他可能會害怕犒賞他自己。像我聽過有很多的朋友，身邊的朋友，都是很害怕投資跟借款的，因為大家會覺得我好像欠錢是一件很危險的事情，家裡面人告訴你說你不能夠欠錢，甚至你一定要全額買房子，連房貸都不要背。那長大就會變成他的一個財富限制，當他要去借錢貸款買房子的時候，他會覺得很害怕，因為我爸爸媽媽叫我不要背房貸，或者他在投資的時候家人跟他講說股票很可怕，可是我們沒有去追溯到那個原��，他為什麼很可怕，他是怎麼樣去使用這樣子的工具的，他的背景是什麼，那我們就只會記得最後一個結論，然後那個結論就會一直困住我們。所以我覺得原生家庭我們講出來的話，就很重要，不是說我沒有錢，而是我們沒有預算，就是你要練習幾句不同的轉換的語言。
[29:03] 主持人：給他的觀念是不一樣的啦。
[29:04] 來賓：對對對。
[29:05] 主持人：好，那最後啊，你來跟大家聊聊你最近出了這本書，值得過上好日子。
[29:10] 來賓：其實我是想要跟大家講說，不管現在月薪是三萬還是三十萬，你都是值得的，你現在就已經值得過上好日子了，只是我們要怎麼樣去安放自己的心，然後做好屬於我現在可以去執行的一個金錢分配。所以它裡面其實就是在講我跟錢的關係到底好不好。
[29:29] 來賓：所以我覺得適合幾種人，就是你真的意識賺錢賺到停不下來的人，或者是你一毛不拔都不敢花錢的人，花的錢之後會愧疚，或者你現在有一個夢想，你想要執行，可是你不相信你有沒有能力去完成那個夢想的人。可以完成夢想是一件很美好的事情，老師應該也有經驗啊，你不是也在健身什麼，你就看到自己進步，然後出去旅遊，你覺得我自己的夢���達成，這種會有一種，天啊，我怎麼這麼幸福，感動到想哭的那種感覺。
[29:59] 主持人：對。
[30:00] 來賓：但是你真的已經財富自由到我花什麼錢都不用在意嗎？也不是啊。
[30:05] 主持人：對。
[30:05] 來賓：所以我覺得我寫這本書就是因為我有過那個感受之後，我覺得真的很棒，就是我們有規劃，然後我們可以安放自己的心，然後有工具知道怎麼樣做使用。我甚至為了這個 topic，然後我現在跟科技公司在研發一個信念帳本的 app，然後那個 app 是第一步做記帳，然後記帳會看見你自己的信念，就是我剛剛講的，我消費過後有什麼樣子的感受。然後記帳完之後呢，我做了一個心願的功能，那個心願其實就是目標啦。
[30:35] 主持人：喔。
[30:36] 來賓：我想要學鋼琴，我想要去哪裡旅行，或者是我想要孩子的教育資金，我想要去念一個 MBA，其實這個心願就是一個目標。最後呢，我們做投資工具的銜接，我自己比較常用的是 ETF，所以我就請那個科技公司過去的績效回推，然後用市場規模回推，然後用一些比較可以去用的指標數據，然後去回推說我要完成你這個心願，好，我現在有 30 年的時間，或者是我有 5 年的時間，建議你過去的歷史數��上面，它的表現績效是可以讓你，或者它的波動度是可以讓你完成你的夢想的。所以我現在正在研發這個東西。我希望可以讓大家都達成心願，它的目標就不是說我要存多少退休金，然後我只是用為了一個金額而活，你是為了你的心願跟你想要過的好日子在過生活的。
[31:27] 主持人：好，聽眾朋友，如果你跟我一樣，就是我們還沒有到財富自由的境界的話，我想我們都應該可以會過頭來了解自己的一些金錢觀，我們跟錢的關係，以及我們想要過上什麼樣子的好日子。在以這樣子的觀點，我們再來回來看待金錢，你會覺得金錢比較可愛一點，它其實是幫我們實踐過好。
[31:49] 來賓：對啊，沒錯。
[31:50] 主持人：的一個過程或工具。
[31:52] 來賓：嗯。
[31:52] 主持人：而不是我們為了錢要一直去好像刻苦耐勞。
[31:55] 來賓：對。
[31:56] 主持人：這樣感覺好像是相反的。
[31:57] 來賓：感覺是完全相反的，以前我們是存錢，我們被錢控制，就覺得我沒有存到，我好辛苦，可是現在是我看著錢，我覺得它好可愛。所以我書裡面也有講到我們要去感謝金錢，它今天幫你做了什麼事，例如我買了一瓶水，它今天幫我解渴。
[32:13] 來賓：對。
[32:14] 主持人：對，或者是我買了一張機票，它今天讓我可以有很棒的那個旅行的經驗，我今天做了什麼樣的事情，我去謝謝我的金錢，完全會心態上面對錢是不一樣的看法，然後這時候我們在賺錢的時候，你就不會覺得很辛苦，你會覺得我每天賺錢我好開心。
[32:33] 主持人：我在實現我的心願。
[32:34] 來賓：我在，對，我在實現我的夢想。
[32:37] 主持人：好啦，聽眾朋友，如果你對我們今天聊的，你覺得感興趣，或者是你還有什麼關於金錢觀啊，或者是伴侶以及你自己理財的問題的話，都非常推薦你，可以一起來閱讀這一本值得過上好日子。今天我們非常謝謝 Sandy Tu 來跟我們聊，那這本書我們也會放在資訊欄，那我們今天就聊到這裡，謝謝。
[32:56] 來賓：謝謝，拜拜。
[32:57] 主持人：拜拜。
